number,F_C,code_LWJ,last name,last name1,first name,name,string,line,sex,son-in-law,Gov._Exam,Grade,occupational_title,grade2,New_Grade,place of family origin,Final_place of family origin,Final_period,Birth_Year,Death_Year,Date_OT,father,grand_f,great_grand_f,great_great_grand_f,father_of_m,grand_father_of_mother,great_grand_father_of_mother,spouse1_familyname,spouse1_place of family origin,son_by_spouse1,daughter_by_spouse1,father_spouse1,grand_father_spouse1,great_grand_father_spouse1,father_of_mother_spouse1,grand_of_mother_spouse1,great_grand_father_of_mother_spouse1,spouse2_familyname,spouse2_place of family origin,son_by_spouse2,daughter_by_spouse2,father_spouse2,grand_father_spouse2,great_grand_father_spouse2,father_of_mother_spouse2,grand_mother_spouse2,great_grand_mother_spouse2,spouse3_familyname,spouse3_place of family origin,son_by_spouse3,daughter_by_spouse3,father_spouse3,grand_father_spouse3,great_grand_father_spouse3,mother_spouse3,grand_mother_spouse3,great_grand_mother_spouse3,spouse4_familyname,spouse4_place of family origin,son_by_spouse4,daughter_by_spouse4,father_spouse4,grand_father_spouse4,great_grand_father_spouse4,mother_spouse4,grand_mother_spouse4,great_grand_mother_spouse4,note,1g,2g,3g,4g,5g,6g,7g,8g,9g,10g,11g,12g,13g,14g,15g,16g,17g,18g,19g,20g,21g,22g,line,sex,son-in-law,period,generation,duplicates,q,last,When Last,q,q
45,45,9708,권,1,용일,권용일,a 1 1 1 1 1 1 1 1 1 4 1 5 2,0,1,1,,5,낭장,6,,안동,안동,9,,,,권혁,권정,권양준,,,,,권,안동,1,,권빈,권자여,권수홍,,,,송,야로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,5,2,,,,,,,,,,1,1,1,10,13,,27,1,13,1,0
46,46,9709,권,1,함,권함,a 1 1 1 1 1 1 1 1 1 4 1 6,0,1,1,,1,영동정,11,,,,8,,,,,,,,,,,권,안동,,1,권자여,권수홍,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,6,,,,,,,,,,,1,1,1,9,12,,25,,16,1,0
47,47,9710,손,39,홍우,손홍우,a 1 1 1 1 1 1 1 1 1 4 1 6 1,0,1,1,,0,,,,일직,일직,9,,,,,,,,,,,권,안동,1,,권함,,,권자여,권수홍,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,6,1,,,,,,,,,,1,1,1,10,13,,27,,16,0,0
48,48,9720,김,2,윤간,김윤간,a 1 1 1 1 1 1 1 1 1 4 1 7,0,1,1,,5,위위시주부,4,,원주,원주,8,,,,김거공,,,,,,,권,안동,6,2,권자여,권수홍,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,부 김거공,1,1,1,1,1,1,1,1,1,4,1,7,,,,,,,,,,,1,1,1,9,12,,25,,19,1,0
49,49,9721,김,2,시찬,시찬,a 1 1 1 1 1 1 1 1 1 4 1 7 1,0,0,0,,0,,,,원주,원주,9,,,,김윤간,김거공,,,권자여,권수홍,권중시,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,7,1,,,,,,,,,,1,0,0,10,13,,27,1,13,0,0
50,50,9722,김,2,양신,양신,a 1 1 1 1 1 1 1 1 1 4 1 7 2,0,0,0,,1,오위,13,,원주,원주,9,,,,김윤간,김거공,,,권자여,권수홍,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,7,2,,,,,,,,,,1,0,0,10,13,,27,1,13,1,1
51,51,9723,김,2,정신,정신,a 1 1 1 1 1 1 1 1 1 4 1 7 3,0,0,0,,1,영동정,11,,원주,원주,9,,,,김윤간,김거공,,,권자여,권수홍,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,7,3,,,,,,,,,,1,0,0,10,13,,27,1,13,1,1
52,52,9724,김,2,경류,경류,a 1 1 1 1 1 1 1 1 1 4 1 7 4,0,0,0,,0,선사(승),14,,원주,원주,9,,,,김윤간,김거공,,,권자여,권수홍,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,7,4,,,,,,,,,,1,0,0,10,13,,27,1,13,0,0
53,53,9725,김,2,용수,용수,a 1 1 1 1 1 1 1 1 1 4 1 7 5,0,0,0,,0,,,,원주,원주,9,,,,김윤간,김거공,,,권자여,권수홍,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,7,5,,,,,,,,,,1,0,0,10,13,,27,1,13,0,0
54,54,9726,조,13,의,조의,a 1 1 1 1 1 1 1 1 1 4 1 7 6,0,1,1,,0,,,,,,9,,,,,,,,,,,김,원주,,,김윤간,김거공,,권자여,권수홍,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,7,6,,,,,,,,,,1,1,1,10,13,,27,1,13,0,0
55,55,9727,권,1,리,권리,a 1 1 1 1 1 1 1 1 1 4 1 7 7,0,1,1,,0,,,,,,9,,,,,,,,,,,,,,,김윤간,김거공,,권자여,권수홍,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,7,7,,,,,,,,,,1,1,1,10,13,,27,1,13,0,0
56,56,9728,김,2,자,자,a 1 1 1 1 1 1 1 1 1 4 1 7 8,1,0,0,,1,녹사,10,,원주,원주,9,,,,김윤간,김거공,,,권자여,권수홍,권중시,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,1,7,8,,,,,,,,,,1,0,0,10,13,,27,,19,1,0
57,57,9791,방,32,걸,방걸,a 1 1 1 1 1 1 1 1 1 4 2,0,1,1,,1,호장,12,,온양,온양,7,,,,,,,,,,,권,안동,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,4,2,,,,,,,,,,,,1,1,1,8,11,,23,,17,1,0
